# R2 calibration run — HTTP + Postgres SELECT FOR UPDATE, two regimes
# date: 2026-08-11
# host: macOS-26.5.2-arm64-arm-64bit, arm64, Python 3.10.11
# harness: tools/calibrate_r2.py (full: 20 reps, 2.0s per level), server: tools/r2_server.py
# engine: PostgreSQL 17.10 (Homebrew, throwaway local instance, max_connections=450), psycopg 3
# STEADY regime excludes each worker's first post-T0 request;
# CONVOY regime is exactly those first requests (synchronized start).
# sharded8 mode: same offered concurrency spread over 8 rows, not 1.
concurrency,rep,mode,steady_thr_ops_s,steady_n,steady_p50_ms,steady_p95_ms,steady_p99_ms,convoy_p50_ms,convoy_p95_ms,convoy_p99_ms,convoy_max_ms,errors
1,0,hot,3382.0,6764,0.256,0.479,0.764,2.455,2.455,2.455,2.455,0
1,1,hot,3534.0,7068,0.254,0.447,0.529,1.658,1.658,1.658,1.658,0
1,2,hot,3340.5,6681,0.262,0.480,0.586,1.311,1.311,1.311,1.311,0
1,3,hot,3475.5,6951,0.255,0.461,0.550,2.144,2.144,2.144,2.144,0
1,4,hot,3362.5,6725,0.257,0.483,0.795,1.924,1.924,1.924,1.924,0
1,5,hot,3520.0,7040,0.254,0.450,0.526,1.223,1.223,1.223,1.223,0
1,6,hot,3444.0,6888,0.258,0.461,0.534,1.201,1.201,1.201,1.201,0
1,7,hot,3378.5,6757,0.264,0.468,0.553,1.174,1.174,1.174,1.174,0
1,8,hot,3502.0,7004,0.254,0.451,0.528,1.467,1.467,1.467,1.467,0
1,9,hot,3429.5,6859,0.253,0.473,0.695,1.121,1.121,1.121,1.121,0
1,10,hot,3498.5,6997,0.255,0.454,0.529,1.681,1.681,1.681,1.681,0
1,11,hot,3504.5,7009,0.254,0.453,0.532,2.061,2.061,2.061,2.061,0
1,12,hot,3525.5,7051,0.252,0.451,0.524,1.705,1.705,1.705,1.705,0
1,13,hot,3511.5,7023,0.254,0.455,0.533,1.761,1.761,1.761,1.761,0
1,14,hot,3507.0,7014,0.254,0.458,0.533,2.074,2.074,2.074,2.074,0
1,15,hot,3401.5,6803,0.256,0.463,0.747,1.322,1.322,1.322,1.322,0
1,16,hot,3267.0,6534,0.260,0.499,0.830,1.884,1.884,1.884,1.884,0
1,17,hot,3357.0,6714,0.266,0.473,0.543,1.756,1.756,1.756,1.756,0
1,18,hot,3313.5,6627,0.269,0.480,0.579,2.090,2.090,2.090,2.090,0
1,19,hot,3412.0,6824,0.264,0.461,0.534,1.808,1.808,1.808,1.808,0
2,0,hot,4812.0,9624,0.392,0.596,0.711,2.424,2.424,2.424,2.424,0
