# R2 calibration run — HTTP + SELECT FOR UPDATE, two regimes
# date: 2026-09-01
# host: macOS-26.5.2-arm64-arm-64bit, arm64, Python 3.10.11
# harness: tools/calibrate_r2.py (full: 20 reps, 2.0s per level), server: tools/r2_server.py
# engine: MariaDB 12.3.3-MariaDB (Homebrew, throwaway local instance, max_connections=450)
# STEADY regime excludes each worker's first post-T0 request;
# CONVOY regime is exactly those first requests (synchronized start).
# sharded8 mode: same offered concurrency spread over 8 rows, not 1.
concurrency,rep,mode,steady_thr_ops_s,steady_n,steady_p50_ms,steady_p95_ms,steady_p99_ms,convoy_p50_ms,convoy_p95_ms,convoy_p99_ms,convoy_max_ms,errors
1,0,hot,3112.0,6224,0.291,0.466,0.652,1.433,1.433,1.433,1.433,0
1,1,hot,2829.5,5659,0.327,0.520,0.799,1.628,1.628,1.628,1.628,0
1,2,hot,3178.5,6357,0.287,0.474,0.636,1.933,1.933,1.933,1.933,0
1,3,hot,2931.0,5862,0.293,0.524,0.851,1.275,1.275,1.275,1.275,0
1,4,hot,2838.0,5676,0.303,0.616,0.893,1.846,1.846,1.846,1.846,0
1,5,hot,3125.5,6251,0.290,0.484,0.650,1.487,1.487,1.487,1.487,0
1,6,hot,2589.5,5179,0.369,0.555,0.745,1.521,1.521,1.521,1.521,0
1,7,hot,2601.5,5203,0.337,0.590,0.961,1.453,1.453,1.453,1.453,0
1,8,hot,2953.5,5907,0.306,0.515,0.702,1.558,1.558,1.558,1.558,0
1,9,hot,2884.5,5769,0.300,0.575,0.892,1.797,1.797,1.797,1.797,0
1,10,hot,2795.5,5591,0.319,0.540,0.880,1.398,1.398,1.398,1.398,0
1,11,hot,2962.0,5924,0.305,0.515,0.685,1.803,1.803,1.803,1.803,0
1,12,hot,2607.5,5215,0.337,0.639,0.995,1.606,1.606,1.606,1.606,0
1,13,hot,2840.5,5681,0.316,0.547,0.776,1.694,1.694,1.694,1.694,0
1,14,hot,3107.0,6214,0.290,0.488,0.656,1.985,1.985,1.985,1.985,0
1,15,hot,2869.0,5738,0.306,0.532,0.821,2.124,2.124,2.124,2.124,0
1,16,hot,2878.5,5757,0.317,0.526,0.723,1.672,1.672,1.672,1.672,0
1,17,hot,2883.5,5767,0.314,0.525,0.733,1.542,1.542,1.542,1.542,0
1,18,hot,3221.0,6442,0.282,0.468,0.629,1.514,1.514,1.514,1.514,0
1,19,hot,2830.0,5660,0.314,0.540,0.786,1.777,1.777,1.777,1.777,0
2,0,hot,4183.0,8366,0.455,0.683,0.929,1.581,1.581,1.581,1.581,0
2,1,hot,4113.5,8227,0.458,0.688,0.921,1.684,1.684,1.684,1.684,0
2,2,hot,4236.5,8473,0.442,0.672,0.910,1.722,1.722,1.722,1.722,0
2,3,hot,4359.0,8718,0.433,0.667,0.928,1.775,1.775,1.775,1.775,0
2,4,hot,4447.0,8894,0.424,0.651,0.857,1.612,1.612,1.612,1.612,0
2,5,hot,4316.5,8633,0.440,0.673,0.890,1.778,1.778,1.778,1.778,0
2,6,hot,4068.5,8137,0.468,0.703,0.917,1.677,1.677,1.677,1.677,0
2,7,hot,4186.5,8373,0.454,0.690,0.921,1.478,1.478,1.478,1.478,0
2,8,hot,4061.0,8122,0.467,0.710,0.948,1.541,1.541,1.541,1.541,0
2,9,hot,4157.0,8314,0.455,0.707,0.940,1.572,1.572,1.572,1.572,0
2,10,hot,4158.5,8317,0.458,0.693,0.903,1.657,1.657,1.657,1.657,0
2,11,hot,4145.0,8290,0.452,0.690,0.949,1.645,1.645,1.645,1.645,0
2,12,hot,3989.5,7979,0.472,0.715,0.954,1.830,1.830,1.830,1.830,0
2,13,hot,4040.0,8080,0.469,0.699,0.942,1.561,1.561,1.561,1.561,0
2,14,hot,4135.0,8270,0.450,0.712,0.954,1.516,1.516,1.516,1.516,0
2,15,hot,3416.0,6832,0.542,0.850,1.318,1.294,1.294,1.294,1.294,0
2,16,hot,4009.0,8018,0.476,0.683,0.901,1.582,1.582,1.582,1.582,0
2,17,hot,3951.0,7902,0.483,0.707,0.946,1.506,1.506,1.506,1.506,0
2,18,hot,3864.0,7728,0.493,0.734,0.980,1.690,1.690,1.690,1.690,0
2,19,hot,4238.5,8477,0.443,0.671,0.985,5.078,5.078,5.078,5.078,0
4,0,hot,3913.0,7826,0.986,1.373,1.672,2.144,2.744,2.744,2.744,0
4,1,hot,3836.5,7673,1.011,1.373,1.647,2.369,2.719,2.719,2.719,0
4,2,hot,3729.0,7458,1.034,1.439,1.768,2.344,2.690,2.690,2.690,0
4,3,hot,3704.0,7408,1.028,1.462,1.841,2.215,2.673,2.673,2.673,0
4,4,hot,4193.5,8387,0.928,1.248,1.535,1.969,2.657,2.657,2.657,0
4,5,hot,4080.0,8160,0.958,1.280,1.484,1.856,2.311,2.311,2.311,0
4,6,hot,4028.5,8057,0.972,1.279,1.512,2.213,2.678,2.678,2.678,0
4,7,hot,4189.0,8378,0.928,1.260,1.465,2.277,2.699,2.699,2.699,0
4,8,hot,4404.0,8808,0.893,1.147,1.319,2.441,2.890,2.890,2.890,0
4,9,hot,4405.0,8810,0.893,1.148,1.308,2.610,2.973,2.973,2.973,0
4,10,hot,3959.5,7919,0.990,1.306,1.477,1.869,2.364,2.364,2.364,0
4,11,hot,3997.5,7995,0.981,1.297,1.483,2.412,2.550,2.550,2.550,0
4,12,hot,4066.0,8132,0.963,1.269,1.429,2.042,2.340,2.340,2.340,0
4,13,hot,4358.0,8716,0.893,1.170,1.355,2.429,2.822,2.822,2.822,0
4,14,hot,3782.0,7564,1.016,1.363,2.185,2.027,2.457,2.457,2.457,0
4,15,hot,3906.0,7812,0.992,1.307,1.602,2.175,2.424,2.424,2.424,0
4,16,hot,3919.0,7838,1.002,1.308,1.499,2.122,2.467,2.467,2.467,0
4,17,hot,4109.5,8219,0.956,1.241,1.423,2.050,2.617,2.617,2.617,0
4,18,hot,4121.0,8242,0.953,1.259,1.476,1.721,2.130,2.130,2.130,0
4,19,hot,4220.5,8441,0.930,1.230,1.401,2.216,2.583,2.583,2.583,0
8,0,hot,3874.0,7748,2.032,2.522,2.825,2.570,3.309,3.309,3.309,0
8,1,hot,4111.0,8222,1.914,2.448,2.707,2.767,3.911,3.911,3.911,0
8,2,hot,4482.0,8964,1.771,2.125,2.394,3.577,4.442,4.442,4.442,0
8,3,hot,4468.5,8937,1.773,2.144,2.400,3.226,4.144,4.144,4.144,0
8,4,hot,4156.5,8313,1.895,2.379,2.673,3.533,4.360,4.360,4.360,0
8,5,hot,3886.0,7772,1.975,2.584,3.299,2.848,3.691,3.691,3.691,0
8,6,hot,3731.5,7463,2.113,2.640,2.922,2.853,3.860,3.860,3.860,0
8,7,hot,3967.5,7935,1.989,2.507,2.776,3.249,4.278,4.278,4.278,0
8,8,hot,3801.5,7603,2.066,2.608,2.926,3.259,4.475,4.475,4.475,0
8,9,hot,3890.5,7781,2.025,2.565,2.893,3.138,4.189,4.189,4.189,0
8,10,hot,4005.5,8011,1.948,2.513,2.838,3.116,4.082,4.082,4.082,0
